Method,Error Level,SNR (dB),Sum Rate (bps/Hz),BER,CRLB (deg)
DE,0.01,0,3.2694,3.1839e-01,1.2253
DE,0.01,5,6.8101,2.0931e-01,0.9189
DE,0.01,10,11.8544,1.0051e-01,0.6891
DE,0.05,0,6.3110,2.2437e-01,0.8810
DE,0.05,5,11.1253,1.1660e-01,0.6606
DE,0.05,10,16.9308,4.1037e-02,0.4954
DE,0.10,0,5.1601,2.5409e-01,0.7867
DE,0.10,5,9.7851,1.3410e-01,0.5899
DE,0.10,10,15.5851,4.2906e-02,0.4424
DE,0.20,0,5.1898,2.6410e-01,0.7661
DE,0.20,5,9.3179,1.6941e-01,0.5745
DE,0.20,10,14.4780,8.7237e-02,0.4308
PSO,0.01,0,4.3342,2.9381e-01,0.9878
PSO,0.01,5,8.0092,2.0038e-01,0.7408
PSO,0.01,10,12.7063,1.2202e-01,0.5555
PSO,0.05,0,4.1790,2.8509e-01,0.6845
PSO,0.05,5,8.3789,1.6370e-01,0.5133
PSO,0.05,10,13.9312,6.2413e-02,0.3849
PSO,0.10,0,4.4824,2.8299e-01,0.8149
PSO,0.10,5,8.4294,1.8111e-01,0.6111
PSO,0.10,10,13.6105,8.7344e-02,0.4582
PSO,0.20,0,4.8789,2.6106e-01,0.8210
PSO,0.20,5,9.3322,1.4634e-01,0.6156
PSO,0.20,10,15.0000,5.1562e-02,0.4617
GWO,0.01,0,5.6186,2.4381e-01,0.8978
GWO,0.01,5,10.2737,1.3010e-01,0.6733
GWO,0.01,10,16.0415,4.4881e-02,0.5049
GWO,0.05,0,4.7909,2.7908e-01,0.9802
GWO,0.05,5,8.7107,1.8003e-01,0.7350
GWO,0.05,10,13.7943,9.4825e-02,0.5512
GWO,0.10,0,4.6406,2.7156e-01,0.8397
GWO,0.10,5,8.9734,1.5518e-01,0.6297
GWO,0.10,10,14.5743,5.8325e-02,0.4722
GWO,0.20,0,3.8905,3.0112e-01,0.8247
GWO,0.20,5,7.7133,1.8947e-01,0.6184
GWO,0.20,10,12.9527,8.7275e-02,0.4638
WOA,0.01,0,2.9165,3.3127e-01,0.8003
WOA,0.01,5,6.3728,2.1504e-01,0.6001
WOA,0.01,10,11.4351,1.0172e-01,0.4500
WOA,0.05,0,4.1669,2.8914e-01,0.9588
WOA,0.05,5,8.2108,1.7442e-01,0.7190
WOA,0.05,10,13.6396,7.3031e-02,0.5392
WOA,0.10,0,4.2858,2.9201e-01,0.8027
WOA,0.10,5,8.1937,1.8327e-01,0.6019
WOA,0.10,10,13.4017,8.7994e-02,0.4514
WOA,0.20,0,3.0060,3.2733e-01,0.8560
WOA,0.20,5,6.4725,2.1665e-01,0.6419
WOA,0.20,10,11.4940,1.0424e-01,0.4814
ZF,0.01,0,6.9137,2.1191e-01,1.8765
ZF,0.01,5,11.8959,1.0368e-01,1.4071
ZF,0.01,10,17.8459,3.3525e-02,1.0552
ZF,0.05,0,7.0099,2.0729e-01,1.8708
ZF,0.05,5,12.0517,1.0148e-01,1.4029
ZF,0.05,10,18.0370,3.1431e-02,1.0521
ZF,0.10,0,6.8960,2.1083e-01,2.0990
ZF,0.10,5,11.8724,1.0497e-01,1.5740
ZF,0.10,10,17.8152,3.4438e-02,1.1803
ZF,0.20,0,6.5373,2.2759e-01,1.5256
ZF,0.20,5,11.2616,1.2171e-01,1.1441
ZF,0.20,10,17.0447,4.7944e-02,0.8579
MMSE,0.01,0,6.9167,2.1141e-01,1.8785
MMSE,0.01,5,11.9055,1.0407e-01,1.4087
MMSE,0.01,10,17.8596,3.4131e-02,1.0564
MMSE,0.05,0,7.0124,2.0541e-01,1.8723
MMSE,0.05,5,12.0599,1.0122e-01,1.4041
MMSE,0.05,10,18.0487,3.0850e-02,1.0529
MMSE,0.10,0,6.8978,2.1216e-01,2.1019
MMSE,0.10,5,11.8798,1.0429e-01,1.5762
MMSE,0.10,10,17.8262,3.3769e-02,1.1820
MMSE,0.20,0,6.5407,2.2779e-01,1.5227
MMSE,0.20,5,11.2747,1.1926e-01,1.1418
MMSE,0.20,10,17.0650,4.8106e-02,0.8563
