Method,Error Level,SNR (dB),Sum Rate (bps/Hz),BER,CRLB (deg)
DE,0.01,0,6.1480,2.2526e-01,0.9476
DE,0.01,5,11.0333,1.1367e-01,0.7106
DE,0.01,10,16.9506,3.4650e-02,0.5329
DE,0.05,0,5.8647,2.3241e-01,1.0407
DE,0.05,5,10.6805,1.1992e-01,0.7804
DE,0.05,10,16.5580,3.6269e-02,0.5852
DE,0.10,0,4.8995,2.6547e-01,0.7893
DE,0.10,5,9.2653,1.5043e-01,0.5919
DE,0.10,10,14.8714,5.8950e-02,0.4439
DE,0.20,0,5.9050,2.2482e-01,1.1142
DE,0.20,5,10.9014,1.1031e-01,0.8355
DE,0.20,10,16.9053,2.3944e-02,0.6265
PSO,0.01,0,4.4529,2.8220e-01,0.9771
PSO,0.01,5,8.6114,1.6538e-01,0.7327
PSO,0.01,10,14.1052,6.8756e-02,0.5495
PSO,0.05,0,3.9384,3.0064e-01,0.8855
PSO,0.05,5,7.6750,1.9749e-01,0.6640
PSO,0.05,10,12.6950,1.0002e-01,0.4980
PSO,0.10,0,2.5801,3.5215e-01,0.7811
PSO,0.10,5,5.5283,2.5106e-01,0.5858
PSO,0.10,10,9.9785,1.4366e-01,0.4393
PSO,0.20,0,5.2931,2.4513e-01,0.7639
PSO,0.20,5,10.0135,1.2958e-01,0.5729
PSO,0.20,10,15.8691,3.7337e-02,0.4296
GWO,0.01,0,5.6334,2.3548e-01,0.7282
GWO,0.01,5,10.4702,1.2029e-01,0.5461
GWO,0.01,10,16.3820,3.1669e-02,0.4095
GWO,0.05,0,4.4895,2.8273e-01,0.9939
GWO,0.05,5,8.4241,1.8384e-01,0.7453
GWO,0.05,10,13.4652,9.5950e-02,0.5589
GWO,0.10,0,5.8798,2.2892e-01,1.0257
GWO,0.10,5,10.7809,1.1325e-01,0.7692
GWO,0.10,10,16.7230,3.1144e-02,0.5768
GWO,0.20,0,5.6996,2.4328e-01,0.9914
GWO,0.20,5,10.3730,1.2838e-01,0.7434
GWO,0.20,10,16.1631,4.4500e-02,0.5575
WOA,0.01,0,5.3546,2.4805e-01,1.0969
WOA,0.01,5,9.9683,1.3394e-01,0.8225
WOA,0.01,10,15.7117,4.5250e-02,0.6168
WOA,0.05,0,4.3703,2.8189e-01,1.2464
WOA,0.05,5,8.5348,1.6557e-01,0.9347
WOA,0.05,10,14.0208,6.7331e-02,0.7009
WOA,0.10,0,3.4725,3.1814e-01,1.1467
WOA,0.10,5,6.8623,2.2302e-01,0.8599
WOA,0.10,10,11.3980,1.3354e-01,0.6449
WOA,0.20,0,4.4135,2.8063e-01,0.9890
WOA,0.20,5,8.5670,1.6704e-01,0.7417
WOA,0.20,10,14.0434,6.8194e-02,0.5562
ZF,0.01,0,6.9750,2.0782e-01,1.7552
ZF,0.01,5,11.9936,1.0217e-01,1.3162
ZF,0.01,10,17.9657,3.2637e-02,0.9870
ZF,0.05,0,6.7518,2.1559e-01,1.9527
ZF,0.05,5,11.7123,1.0705e-01,1.4643
ZF,0.05,10,17.6546,3.3337e-02,1.0981
ZF,0.10,0,6.6654,2.1458e-01,1.0311
ZF,0.10,5,11.6483,1.0486e-01,0.7732
ZF,0.10,10,17.6069,3.1981e-02,0.5799
ZF,0.20,0,6.9593,2.1204e-01,1.4918
ZF,0.20,5,11.9542,1.0264e-01,1.1187
ZF,0.20,10,17.9058,3.3875e-02,0.8389
MMSE,0.01,0,6.9780,2.0898e-01,1.7553
MMSE,0.01,5,12.0029,1.0189e-01,1.3163
MMSE,0.01,10,17.9789,3.1869e-02,0.9871
MMSE,0.05,0,6.7550,2.1472e-01,1.9576
MMSE,0.05,5,11.7218,1.0549e-01,1.4680
MMSE,0.05,10,17.6683,3.3631e-02,1.1008
MMSE,0.10,0,6.6673,2.1444e-01,1.0301
MMSE,0.10,5,11.6562,1.0485e-01,0.7725
MMSE,0.10,10,17.6188,3.1281e-02,0.5793
MMSE,0.20,0,6.9637,2.1101e-01,1.4922
MMSE,0.20,5,11.9640,1.0161e-01,1.1190
MMSE,0.20,10,17.9191,3.4313e-02,0.8391
