Method,Error Level,SNR (dB),Sum Rate (bps/Hz),BER,CRLB (deg)
DE,0.01,0,4.9263,2.6243e-01,1.5763
DE,0.01,5,9.3672,1.4567e-01,1.1821
DE,0.01,10,15.0424,5.3381e-02,0.8864
DE,0.05,0,4.1350,2.9138e-01,0.9350
DE,0.05,5,8.1305,1.7727e-01,0.7012
DE,0.05,10,13.4984,7.7150e-02,0.5258
DE,0.10,0,5.7749,2.3608e-01,0.8456
DE,0.10,5,10.5837,1.2092e-01,0.6341
DE,0.10,10,16.4668,3.6388e-02,0.4755
DE,0.20,0,3.2921,3.1969e-01,0.8940
DE,0.20,5,6.8657,2.0813e-01,0.6704
DE,0.20,10,11.9450,9.8400e-02,0.5027
PSO,0.01,0,4.1331,2.9126e-01,0.7944
PSO,0.01,5,8.1154,1.7725e-01,0.5957
PSO,0.01,10,13.4512,7.8550e-02,0.4467
PSO,0.05,0,4.1365,2.8766e-01,1.0202
PSO,0.05,5,8.1745,1.7718e-01,0.7651
PSO,0.05,10,13.5441,7.5325e-02,0.5737
PSO,0.10,0,4.3672,2.7639e-01,0.8134
PSO,0.10,5,8.6956,1.5794e-01,0.6100
PSO,0.10,10,14.3296,5.5712e-02,0.4574
PSO,0.20,0,5.6082,2.3837e-01,0.8004
PSO,0.20,5,10.4399,1.1987e-01,0.6002
PSO,0.20,10,16.3509,3.2888e-02,0.4501
GWO,0.01,0,5.7723,2.2776e-01,0.8854
GWO,0.01,5,10.7280,1.1265e-01,0.6640
GWO,0.01,10,16.7129,2.4844e-02,0.4979
GWO,0.05,0,6.4479,2.1144e-01,0.9271
GWO,0.05,5,11.5859,9.8988e-02,0.6952
GWO,0.05,10,17.6529,1.9056e-02,0.5213
GWO,0.10,0,5.9183,2.2609e-01,0.9285
GWO,0.10,5,10.8895,1.1081e-01,0.6963
GWO,0.10,10,16.8766,2.5837e-02,0.5221
GWO,0.20,0,5.7907,2.2993e-01,0.7508
GWO,0.20,5,10.6930,1.1286e-01,0.5630
GWO,0.20,10,16.6389,2.9625e-02,0.4222
WOA,0.01,0,3.5184,3.2504e-01,0.8584
WOA,0.01,5,6.6815,2.3393e-01,0.6437
WOA,0.01,10,11.2530,1.3488e-01,0.4827
WOA,0.05,0,3.9490,2.9304e-01,0.9417
WOA,0.05,5,8.0507,1.7239e-01,0.7062
WOA,0.05,10,13.5534,6.6675e-02,0.5295
WOA,0.10,0,2.6295,3.5302e-01,1.0804
WOA,0.10,5,5.3959,2.6623e-01,0.8102
WOA,0.10,10,9.4162,1.7173e-01,0.6075
WOA,0.20,0,4.2164,2.8469e-01,0.7858
WOA,0.20,5,8.3607,1.6808e-01,0.5892
WOA,0.20,10,13.8640,6.6569e-02,0.4419
ZF,0.01,0,6.9119,2.1308e-01,1.6971
ZF,0.01,5,11.8844,1.0533e-01,1.2726
ZF,0.01,10,17.8287,3.4650e-02,0.9543
ZF,0.05,0,6.6931,2.1743e-01,1.6851
ZF,0.05,5,11.5998,1.0979e-01,1.2637
ZF,0.05,10,17.5084,3.7475e-02,0.9476
ZF,0.10,0,6.1023,2.3797e-01,1.1140
ZF,0.10,5,10.7216,1.2953e-01,0.8354
ZF,0.10,10,16.4428,5.2925e-02,0.6264
ZF,0.20,0,5.6732,2.6339e-01,1.2424
ZF,0.20,5,9.6280,1.7904e-01,0.9316
ZF,0.20,10,14.4078,1.1665e-01,0.6986
MMSE,0.01,0,6.9155,2.1290e-01,1.6977
MMSE,0.01,5,11.8949,1.0494e-01,1.2731
MMSE,0.01,10,17.8435,3.4056e-02,0.9547
MMSE,0.05,0,6.6948,2.1754e-01,1.6842
MMSE,0.05,5,11.6082,1.0899e-01,1.2630
MMSE,0.05,10,17.5214,3.6088e-02,0.9471
MMSE,0.10,0,6.1116,2.3704e-01,1.1141
MMSE,0.10,5,10.7448,1.3089e-01,0.8355
MMSE,0.10,10,16.4771,5.0987e-02,0.6265
MMSE,0.20,0,5.6776,2.6190e-01,1.2425
MMSE,0.20,5,9.6361,1.7769e-01,0.9318
MMSE,0.20,10,14.4086,1.1752e-01,0.6987
