方法,误差水平,SNR(dB),和速率(bps/Hz),误码率(BER),CRLB(度)
DE,0.01,0,5.8776,2.3076e-01,0.8484
DE,0.01,5,10.7444,1.1723e-01,0.6362
DE,0.01,10,16.6658,3.1937e-02,0.4771
DE,0.05,0,7.0232,2.0279e-01,0.8435
DE,0.05,5,12.1939,9.2837e-02,0.6325
DE,0.05,10,18.2549,2.2731e-02,0.4743
DE,0.10,0,6.1685,2.3742e-01,0.9574
DE,0.10,5,10.5511,1.4814e-01,0.7180
DE,0.10,10,15.7748,8.1369e-02,0.5384
DE,0.20,0,6.8079,2.0292e-01,0.8380
DE,0.20,5,12.0261,9.0275e-02,0.6284
DE,0.20,10,18.1245,1.6962e-02,0.4713
PSO,0.01,0,6.2251,2.2286e-01,0.7540
PSO,0.01,5,11.2012,1.0840e-01,0.5654
PSO,0.01,10,17.1644,2.8981e-02,0.4240
PSO,0.05,0,6.4660,2.1919e-01,0.8751
PSO,0.05,5,11.4165,1.0741e-01,0.6562
PSO,0.05,10,17.3591,3.2706e-02,0.4921
PSO,0.10,0,5.9664,2.2608e-01,0.7995
PSO,0.10,5,10.9111,1.1192e-01,0.5995
PSO,0.10,10,16.8805,2.7675e-02,0.4496
PSO,0.20,0,3.5222,3.1248e-01,0.8377
PSO,0.20,5,7.1167,2.0719e-01,0.6282
PSO,0.20,10,12.1363,1.0034e-01,0.4711
GWO,0.01,0,5.4037,2.5084e-01,0.8482
GWO,0.01,5,9.9601,1.3641e-01,0.6361
GWO,0.01,10,15.6882,5.0375e-02,0.4770
GWO,0.05,0,6.8248,2.0523e-01,0.7636
GWO,0.05,5,11.9979,9.3300e-02,0.5726
GWO,0.05,10,18.0677,2.0456e-02,0.4294
GWO,0.10,0,6.2304,2.1715e-01,0.9228
GWO,0.10,5,11.3055,1.0257e-01,0.6920
GWO,0.10,10,17.3424,2.1737e-02,0.5189
GWO,0.20,0,5.8209,2.2758e-01,1.0620
GWO,0.20,5,10.7907,1.1129e-01,0.7964
GWO,0.20,10,16.7817,2.4575e-02,0.5972
WOA,0.01,0,6.6943,2.0547e-01,0.7845
WOA,0.01,5,11.8965,9.1906e-02,0.5883
WOA,0.01,10,17.9903,1.7688e-02,0.4411
WOA,0.05,0,4.3452,2.8552e-01,0.7403
WOA,0.05,5,8.3798,1.7285e-01,0.5552
WOA,0.05,10,13.7832,7.6056e-02,0.4163
WOA,0.10,0,5.2768,2.4946e-01,0.9209
WOA,0.10,5,9.9168,1.3440e-01,0.6906
WOA,0.10,10,15.7146,4.3269e-02,0.5179
WOA,0.20,0,2.1550,3.6941e-01,1.4366
WOA,0.20,5,4.6977,2.8131e-01,1.0773
WOA,0.20,10,8.7368,1.7167e-01,0.8079
ZF,0.01,0,7.7071,1.7866e-01,2.0346
ZF,0.01,5,13.1630,7.1388e-02,1.5257
ZF,0.01,10,19.3685,9.6437e-03,1.1441
ZF,0.05,0,6.8856,2.0000e-01,1.6441
ZF,0.05,5,12.1339,8.8250e-02,1.2329
ZF,0.05,10,18.2480,1.5850e-02,0.9246
ZF,0.10,0,6.7054,2.0785e-01,1.1776
ZF,0.10,5,11.8661,9.4494e-02,0.8831
ZF,0.10,10,17.9330,2.0475e-02,0.6622
ZF,0.20,0,5.7405,2.3516e-01,1.1206
ZF,0.20,5,10.6014,1.1719e-01,0.8403
ZF,0.20,10,16.5245,3.1144e-02,0.6301
MMSE,0.01,0,7.7120,1.7727e-01,2.0299
MMSE,0.01,5,13.1706,7.1369e-02,1.5222
MMSE,0.01,10,19.3775,9.9312e-03,1.1415
MMSE,0.05,0,6.8923,1.9862e-01,1.6672
MMSE,0.05,5,12.1442,8.8200e-02,1.2502
MMSE,0.05,10,18.2602,1.5219e-02,0.9375
MMSE,0.10,0,6.7117,2.0614e-01,1.1803
MMSE,0.10,5,11.8772,9.3825e-02,0.8851
MMSE,0.10,10,17.9470,1.9475e-02,0.6637
MMSE,0.20,0,5.7453,2.3391e-01,1.1208
MMSE,0.20,5,10.6104,1.1834e-01,0.8405
MMSE,0.20,10,16.5362,3.1269e-02,0.6303
