方法,误差水平,SNR(dB),和速率(bps/Hz),误码率(BER),CRLB(度)
DE,0.01,0,7.2851,1.9371e-01,0.9731
DE,0.01,5,12.5865,8.2100e-02,0.7298
DE,0.01,10,18.7164,1.6069e-02,0.5472
DE,0.05,0,7.1638,1.9361e-01,1.0198
DE,0.05,5,12.4479,8.4837e-02,0.7647
DE,0.05,10,18.5750,1.5931e-02,0.5735
DE,0.10,0,5.8743,2.2901e-01,1.0090
DE,0.10,5,10.7776,1.1479e-01,0.7566
DE,0.10,10,16.7230,3.0662e-02,0.5674
DE,0.20,0,5.4584,2.4551e-01,0.7257
DE,0.20,5,10.1416,1.3033e-01,0.5442
DE,0.20,10,15.9414,4.2069e-02,0.4081
PSO,0.01,0,6.4072,2.1757e-01,0.9479
PSO,0.01,5,11.3873,1.0718e-01,0.7108
PSO,0.01,10,17.3581,3.0012e-02,0.5330
PSO,0.05,0,7.5177,1.8292e-01,1.1673
PSO,0.05,5,12.9306,7.5050e-02,0.8753
PSO,0.05,10,19.1170,1.0938e-02,0.6564
PSO,0.10,0,7.2567,1.9050e-01,0.7990
PSO,0.10,5,12.6044,8.0581e-02,0.5992
PSO,0.10,10,18.7634,1.3075e-02,0.4493
PSO,0.20,0,6.3470,2.1743e-01,0.7135
PSO,0.20,5,11.3832,1.0323e-01,0.5350
PSO,0.20,10,17.3907,2.5356e-02,0.4012
GWO,0.01,0,7.3893,1.8836e-01,1.1582
GWO,0.01,5,12.7236,7.9106e-02,0.8685
GWO,0.01,10,18.8680,1.5331e-02,0.6513
GWO,0.05,0,7.7954,1.7763e-01,1.0752
GWO,0.05,5,13.2714,7.0581e-02,0.8063
GWO,0.05,10,19.4870,8.7625e-03,0.6046
GWO,0.10,0,6.9173,1.9918e-01,1.0996
GWO,0.10,5,12.1631,8.7538e-02,0.8246
GWO,0.10,10,18.2722,1.6806e-02,0.6183
GWO,0.20,0,6.6913,2.0383e-01,0.9185
GWO,0.20,5,11.9139,9.2512e-02,0.6888
GWO,0.20,10,18.0205,1.6087e-02,0.5165
WOA,0.01,0,3.4637,3.2079e-01,1.0325
WOA,0.01,5,6.8467,2.2169e-01,0.7742
WOA,0.01,10,11.4669,1.2802e-01,0.5806
WOA,0.05,0,7.0039,1.9469e-01,1.0770
WOA,0.05,5,12.3061,8.5356e-02,0.8077
WOA,0.05,10,18.4470,1.3044e-02,0.6057
WOA,0.10,0,4.8713,2.7613e-01,1.3482
WOA,0.10,5,8.8788,1.7431e-01,1.0110
WOA,0.10,10,14.1344,8.3544e-02,0.7581
WOA,0.20,0,3.0972,3.2587e-01,1.3456
WOA,0.20,5,6.5857,2.1616e-01,1.0091
WOA,0.20,10,11.5816,1.0435e-01,0.7567
ZF,0.01,0,8.5002,1.5945e-01,1.1892
ZF,0.01,5,14.1363,5.5950e-02,0.8918
ZF,0.01,10,20.4189,4.7375e-03,0.6688
ZF,0.05,0,8.1132,1.6793e-01,1.4271
ZF,0.05,5,13.6850,6.2912e-02,1.0702
ZF,0.05,10,19.9425,5.4313e-03,0.8025
ZF,0.10,0,7.5432,1.8113e-01,1.1775
ZF,0.10,5,12.9969,7.1469e-02,0.8830
ZF,0.10,10,19.2058,8.0750e-03,0.6622
ZF,0.20,0,6.8028,2.0144e-01,1.1008
ZF,0.20,5,12.0486,8.9244e-02,0.8255
ZF,0.20,10,18.1643,1.5569e-02,0.6190
MMSE,0.01,0,8.5043,1.5911e-01,1.1895
MMSE,0.01,5,14.1420,5.6725e-02,0.8920
MMSE,0.01,10,20.4253,4.8938e-03,0.6689
MMSE,0.05,0,8.1160,1.6659e-01,1.4257
MMSE,0.05,5,13.6888,6.1719e-02,1.0691
MMSE,0.05,10,19.9468,5.2063e-03,0.8017
MMSE,0.10,0,7.5434,1.8191e-01,1.1773
MMSE,0.10,5,12.9971,7.2137e-02,0.8829
MMSE,0.10,10,19.2061,8.3687e-03,0.6620
MMSE,0.20,0,6.8074,1.9977e-01,1.1010
MMSE,0.20,5,12.0557,8.8850e-02,0.8256
MMSE,0.20,10,18.1727,1.5213e-02,0.6191
